relative_image_path,prompt,gt_answer,pred_answer
images/13plus45.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",5,5
images/38minus14.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
images/85plus13.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",9,9
images/13plus21.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
images/39minus26.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/81plus13.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",9,9
images/38divide24.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/10mult30.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
images/53divide27.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/37minus34.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
images/23mult21.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",4,4
images/22divide15.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/87mult43.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
images/68plus27.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",9,9
images/58plus15.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",7,7
images/90mult89.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",8,7
images/83mult34.png,"<bos><start_of_turn>user
<start_of_image>What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
