relative_image_path,prompt,gt_answer,pred_answer
images/Andreas_Ivanschitz.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,soccer
images/Roberto_Clemente.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Carlos_Valderrama.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,football
images/Hank_Aaron.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Jari_Kurri.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
images/David_Carney.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,baseball
images/R.A._Dickey.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Luis_Scola.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
images/Satchel_Paige.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Elton_Brand.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
images/Terrell_Owens.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,soccer
images/Matteo_Ferrari.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,s
images/Tom_Harmon.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
images/Mariano_Rivera.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Gary_Carter.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Igor_Larionov.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
images/Ashley_Cole.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,soccer
images/Dennis_Rodman.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
images/Moe_Berg.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Willie_Mays.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Landon_Donovan.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,s
images/Tim_Tebow.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
images/David_Beckham.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,soccer
images/Magic_Johnson.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
images/Zack_Steffen.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,soccer
images/Andrea_Pirlo.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,football
images/Cy_Young.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Bud_Grant.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
images/Jesse_Hibbs.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
images/Jim_Bunning.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,football
images/Carlos_Arroyo.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
images/Alessandro_Nesta.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,hockey
images/Ryan_Smyth.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
images/Troy_Aikman.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
images/Joakim_Noah.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
images/Sergei_Fedorov.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
images/Chris_Paul.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
images/David_Robinson.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
images/Bobby_Orr.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
images/Herschel_Walker.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
images/Bobby_Hull.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
images/Larry_Doby.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Ed_O'Neill.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,basketball
images/Kareem_Abdul-Jabbar.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
images/Ty_Cobb.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Dennis_Seidenberg.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
images/Joe_DiMaggio.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Dave_DeBusschere.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,sw
images/Tony_Gwynn.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Bart_Starr.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
images/Lou_Gehrig.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
images/Grant_Hill.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
images/O._J._Simpson.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
images/Bill_Bradley.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,golf
images/Michael_Jordan.png,"<bos><start_of_turn>user
<start_of_image>What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
