prompt,gt_answer,pred_answer
"<s>[INST]""""""A child sobs alone in the rain, clutching a torn letter, eyes searching the storm ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A grieving mother kneels by a fresh grave, rain pouring down as she whispers forgotten l ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A girl sits by a hospital bed, holding her father’s lifeless hand, the machines already ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A couple stands in the storm, one turning away forever, their hands parting like pages in ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A shivering homeless man curls up in a dark alley, unseen and forgotten, surrounded by the ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A blood-stained teddy bear lies in the mud, rain falling steadily, a child’s ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A coffin lowers into the ground as mourners stand silently in black, their tears mixing with ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A woman screams alone in a dark hallway, clutching a death certificate, the silence pressing in ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A suicide note sits beside a bottle of pills on a nightstand, the clock ticking louder ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A house burns in the distance, a child watching from the roadside, crying, clutching ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A morgue drawer is pulled open, the toe tag swinging slightly in the cold air of the ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A man stares at a noose hanging in a dimly lit basement, his shadow trembling on ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A crow picks at a wilted bouquet left on an overgrown grave, its ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A wedding dress floats in a murky river, torn and stained, once white, now forgotten ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A crash site smolders at dawn, belongings scattered, a single shoe in the dirt, unt ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A teenager's final text glows on a cracked phone screen in the rain, unread, ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A man screams into a pillow, surrounded by empty liquor bottles and darkness, lost in a night ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A wedding photo burns slowly in a fireplace, edges curling into ash, love erased by flame and ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A body lies covered in a white sheet as police tape flutters nearby, sirens fading ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""An abandoned asylum hallway echoes with faint footsteps and distant sobbing, the air thick with forgotten screams ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A girl lights candles around a gravestone on what would’ve been prom night, her dress ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A wheelchair sits empty at the edge of a cliff, facing the sea, wheels still, silence ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A burned-out car smolders in the distance, family photos scattered in the grass, a story ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A man cradles his lifeless dog beneath a streetlamp on a rainy night, ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A baby blanket lies abandoned in the rubble of a collapsed building, soot-stained memories ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A girl stares at a missing poster with her sister’s face on it, heart pounding with fear ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A blood-soaked wedding dress is found in a forest clearing, surrounded by silence and the scent ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A child's drawing is taped to a morgue door, marked with a name, a ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A pair of shoes sits neatly by a bridge railing, untouched in the morning mist and ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,neutral
"<s>[INST]""""""A child draws stick figures of their family—one figure is crossed out in red crayon, ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A dying tree stands alone in a graveyard, branches reaching like bony fingers toward the sky ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A child stares through a rain-streaked window, clutching a stuffed animal tightly, waiting ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A grave covered in fresh flowers under gray skies and silent mourners, each petal a ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A girl weeps beside a broken photo frame, shards scattered on the floor, as memories ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A suicide note lies on a desk next to an untouched coffee cup, the room heavy with ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A child lights a candle at a roadside memorial, face full of quiet grief, as the ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A woman kneels beside a grave marked with her child’s name and a tiny teddy bear ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A soldier’s uniform lies folded beside a flag and a framed photo, untouched by the hands ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A single wilted rose rests on a casket as rain begins to fall, soaking ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A bloodstained journal lies open on a kitchen floor in silence, its pages filled with lost ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A figure sits at the edge of a pier, shoes off, staring at the black water, ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A dog waits outside a burned home, tail still, eyes watching, longing for the return ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A woman collapses to her knees in front of a closed hospital door, her sobs echo ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A wedding photo lies torn in half on a dark bedroom floor, memories scattered like broken pieces of ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A child holds a candle vigil for a classmate who never came back, the flame flickering ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""An urn sits on a windowsill, untouched by the dust of months, a silent testament ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,neutral
"<s>[INST]""""""A shattered mirror reflects a tear-streaked face and broken expression, pieces of glass scattered like ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A teenager’s backpack rests against a wall covered in missing person posters, her absence weighing heavy on ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A girl clutches a voicemail recording on repeat, sobbing in darkness, as ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A bouquet lies at the feet of a statue, card reading 'Gone too soon,' ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A woman holds an ultrasound image, crying in an empty waiting room, the future she dreamed of ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A father weeps silently at the site of a car crash memorial, his heart aching with ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A family photo floats in floodwater inside a crumbling, abandoned home, the memories now submerged ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A streetlight flickers over a figure curled on a park bench in the rain, its dim ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A boy stares at his reflection in a cracked window, eyes hollow, lost in the pain of ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A wedding ring lies abandoned on a headstone, glinting in the rain, a symbol ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A soldier’s boots sit beside a helmet and dog tags in a field of crosses, the wind ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A bloodied pillow lies on the floor of a silent bedroom, stained with the pain of a ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A girl covers her ears as her parents scream in the next room, her heart pounding in fear ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A dog lies beside its owner’s grave, refusing to move, loyal even in death, in ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A man watches old home videos alone, tears streaming down his cheeks, memories of better days ha ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A graveyard shrouded in fog, one lone figure standing in the mist, lost in ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A child places a drawing on a gravestone and walks away in silence, the wind carrying ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A woman holds her head in her hands beside a freshly dug grave, her grief overwhelming and deep ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A field of white crosses stretches into the horizon, each marked with a name and a date, ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",s,s
"<s>[INST]""""""A child laughs joyfully, running through a field of sunflowers under a bright blue sky ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
"<s>[INST]""""""A couple shares a kiss under a fireworks-lit sky, celebrating New Year's Eve together ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
"<s>[INST]""""""A golden retriever excitedly chases a ball across a sunny park, tail wagging ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
"<s>[INST]""""""Friends cheer, clinking glasses at a rooftop party, city lights sparkling behind them, ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
"<s>[INST]""""""A grandmother hugs her grandchild tightly, both smiling with pure happiness, enjoying a peaceful moment ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
"<s>[INST]""""""A young couple dances barefoot on the beach, waves crashing around them, their laughter filling the ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
"<s>[INST]""""""A child excitedly blows out birthday candles, surrounded by family and balloons, making a wish ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
"<s>[INST]""""""A musician plays guitar in the street, strangers clapping and dancing to the rhythm, creating an ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
"<s>[INST]""""""A newlywed couple walks hand in hand through a garden filled with blooming roses, their hearts ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
"<s>[INST]""""""A father lifts his giggling daughter onto his shoulders at a summer carnival, both enjoying the ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
"<s>[INST]""""""A child runs through a field of daisies, laughter echoing in the sunshine, feeling ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
"<s>[INST]""""""A couple shares their first kiss as newlyweds under a glowing sunset, their love marking the ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
