relative_image_path,prompt,gt_answer,pred_answer
images/13plus45.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],5,1
images/38minus14.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],2,1
images/85plus13.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],9,1
images/13plus21.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],3,1
images/39minus26.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],1,7
images/81plus13.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],9,8
images/38divide24.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],1,1
images/10mult30.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],3,1
images/53divide27.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],1,5
images/37minus34.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],3,4
images/23mult21.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],4,2
images/22divide15.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],1,2
images/87mult43.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],3,2
images/68plus27.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],9,1
images/58plus15.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],7,5
images/90mult89.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],8,9
images/83mult34.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],2,8
images/15plus39.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],5,1
images/20mult39.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],7,2
images/58plus27.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],8,1
images/91divide56.png,<s>[INST][IMG]What is the result of the given arithmetic calculation? Answer in a single number.[/INST],1,9
