prompt,gt_answer,pred_answer
"<bos><start_of_turn>user
Consider Luis Scola.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
"<bos><start_of_turn>user
Consider Satchel Paige.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Dennis Rodman.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
"<bos><start_of_turn>user
Consider Tim Tebow.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Andrea Pirlo.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,soccer
"<bos><start_of_turn>user
Consider Jesse Hibbs.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,hockey
"<bos><start_of_turn>user
Consider Jim Bunning.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Troy Aikman.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Joakim Noah.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
"<bos><start_of_turn>user
Consider Sergei Fedorov.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Herschel Walker.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Larry Doby.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Tony Gwynn.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Leon Allen White.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Drew Brees.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Warren Spahn.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Woody Strode.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Eric Lindros.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Christy Mathewson.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Siem de Jong.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,soccer
"<bos><start_of_turn>user
Consider Phil Esposito.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Ichiro Suzuki.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Bubba Smith.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Efren Navarro.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Marcos Mondaini.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,sw
"<bos><start_of_turn>user
Consider Marc Gasol.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
"<bos><start_of_turn>user
Consider Walter Zenga.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,football
"<bos><start_of_turn>user
Consider Kendall Waston.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,soccer
"<bos><start_of_turn>user
Consider Alexei Kovalev.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider George Halas.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,football
"<bos><start_of_turn>user
Consider Dick Butkus.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Kasey Keller.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,soccer
"<bos><start_of_turn>user
Consider Stan Musial.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Tommie Smith.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,s
"<bos><start_of_turn>user
Consider Lionel Conacher.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Honus Wagner.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Mickey Mantle.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Allen Iverson.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
"<bos><start_of_turn>user
Consider Tom Seaver.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Michael Strahan.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Sergei Makarov.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Danny Ainge.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,basketball
"<bos><start_of_turn>user
Consider Roger Staubach.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Roy Campanella.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Don Shula.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Emmitt Smith.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Brian Bosworth.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Terry Sawchuk.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Johnny Unitas.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Mark Messier.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Kevin Garnett.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
"<bos><start_of_turn>user
Consider Alex Karras.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Stan Mikita.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Elroy Hirsch.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Carl Weathers.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Kenny Lofton.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Nick Swisher.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Shane Doan.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider John Elway.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Nigel de Jong.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,soccer
"<bos><start_of_turn>user
Consider Ilya Kovalchuk.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Peter Forsberg.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Claudio Reyna.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,soccer
"<bos><start_of_turn>user
Consider Boris Diaw.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
"<bos><start_of_turn>user
Consider Julius Erving.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
"<bos><start_of_turn>user
Consider Guy Lafleur.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Yu Darvish.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Casey Stengel.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Carmelo Anthony.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
"<bos><start_of_turn>user
Consider Pau Gasol.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",basketball,basketball
"<bos><start_of_turn>user
Consider Tony Dungy.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Ollie Matson.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Gordie Howe.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Joe Namath.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Dave Winfield.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Yogi Berra.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,baseball
"<bos><start_of_turn>user
Consider Egidio Rios.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,soccer
"<bos><start_of_turn>user
Consider Wayne Gretzky.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Deion Sanders.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,football
"<bos><start_of_turn>user
Consider Mario Lemieux.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Brock Lesnar.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",football,football
"<bos><start_of_turn>user
Consider Chuck Connors.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",baseball,basketball
"<bos><start_of_turn>user
Consider Jermaine Jones.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",soccer,soccer
"<bos><start_of_turn>user
Consider Paul Kariya.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",hockey,hockey
"<bos><start_of_turn>user
Consider Usain Bolt.
What sport does this athlete play? Answer in a single word.<end_of_turn>
<start_of_turn>model
",s,s
"<bos><start_of_turn>user
Consider Kilkenny Castle.
Which country is this landmark in? Answer in a single word.<end_of_turn>
<start_of_turn>model
",Ireland,Ireland
"<bos><start_of_turn>user
Consider Lake Baikal.
Which country is this landmark in? Answer in a single word.<end_of_turn>
<start_of_turn>model
",Russia,Russia
"<bos><start_of_turn>user
Consider Karnak Temple.
Which country is this landmark in? Answer in a single word.<end_of_turn>
<start_of_turn>model
",Egypt,Egypt
"<bos><start_of_turn>user
Consider Abu Simbel.
Which country is this landmark in? Answer in a single word.<end_of_turn>
<start_of_turn>model
",Egypt,Egypt
"<bos><start_of_turn>user
Consider Siwa Oasis.
Which country is this landmark in? Answer in a single word.<end_of_turn>
<start_of_turn>model
",Egypt,Egypt
"<bos><start_of_turn>user
Consider Ring of Kerry.
Which country is this landmark in? Answer in a single word.<end_of_turn>
<start_of_turn>model
",Ireland,Ireland
"<bos><start_of_turn>user
Consider Cotswolds.
Which country is this landmark in? Answer in a single word.<end_of_turn>
<start_of_turn>model
",UK,UK
"<bos><start_of_turn>user
Consider Dordogne Valley.
Which country is this landmark in? Answer in a single word.<end_of_turn>
<start_of_turn>model
",France,France
"<bos><start_of_turn>user
Consider Tuscany Countryside.
Which country is this landmark in? Answer in a single word.<end_of_turn>
<start_of_turn>model
",Italy,Italy
