prompt,gt_answer,pred_answer
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Roberto Clemente.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",base,base
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider David Carney.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",soc,soc
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Luis Scola.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",basket,basket
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Elton Brand.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",basket,basket
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Terrell Owens.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",football,football
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Matteo Ferrari.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",soc,football
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Mariano Rivera.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",base,base
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Dennis Rodman.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",basket,basket
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Moe Berg.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",base,base
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Willie Mays.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",base,base
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Landon Donovan.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",soc,soc
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Tim Tebow.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",football,football
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Zack Steffen.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",soc,soc
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Andrea Pirlo.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",soc,soc
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Jesse Hibbs.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",football,base
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Jim Bunning.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",base,base
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Ryan Smyth.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",h,h
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Larry Doby.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",base,base
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Ed O'Neill.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",football,base
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Lou Gehrig.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",base,base
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Consider Leon Allen White.
What sport does this athlete play? Answer in a single word.<|im_end|>
<|im_start|>assistant
",football,base
