prompt,gt_answer,pred_answer
"<s>[INST]Consider David Carney.
What sport does this athlete play? Answer in a single word.[/INST]",s,s
"<s>[INST]Consider Luis Scola.
What sport does this athlete play? Answer in a single word.[/INST]",b,b
"<s>[INST]Consider Satchel Paige.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Terrell Owens.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Dennis Rodman.
What sport does this athlete play? Answer in a single word.[/INST]",b,b
"<s>[INST]Consider Moe Berg.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Willie Mays.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Landon Donovan.
What sport does this athlete play? Answer in a single word.[/INST]",s,s
"<s>[INST]Consider David Beckham.
What sport does this athlete play? Answer in a single word.[/INST]",s,s
"<s>[INST]Consider Zack Steffen.
What sport does this athlete play? Answer in a single word.[/INST]",s,s
"<s>[INST]Consider Andrea Pirlo.
What sport does this athlete play? Answer in a single word.[/INST]",s,foot
"<s>[INST]Consider Jesse Hibbs.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Jim Bunning.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Alessandro Nesta.
What sport does this athlete play? Answer in a single word.[/INST]",s,s
"<s>[INST]Consider Ryan Smyth.
What sport does this athlete play? Answer in a single word.[/INST]",h,h
"<s>[INST]Consider Bobby Orr.
What sport does this athlete play? Answer in a single word.[/INST]",h,h
"<s>[INST]Consider Herschel Walker.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Larry Doby.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Ed O'Neill.
What sport does this athlete play? Answer in a single word.[/INST]",foot,base
"<s>[INST]Consider Tony Gwynn.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Leon Allen White.
What sport does this athlete play? Answer in a single word.[/INST]",foot,base
"<s>[INST]Consider Drew Brees.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Warren Spahn.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Ken Dryden.
What sport does this athlete play? Answer in a single word.[/INST]",h,h
"<s>[INST]Consider Woody Strode.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Eric Lindros.
What sport does this athlete play? Answer in a single word.[/INST]",h,h
"<s>[INST]Consider Terry Bradshaw.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Nelson Valdez.
What sport does this athlete play? Answer in a single word.[/INST]",s,s
"<s>[INST]Consider Siem de Jong.
What sport does this athlete play? Answer in a single word.[/INST]",s,s
"<s>[INST]Consider Tim Cahill.
What sport does this athlete play? Answer in a single word.[/INST]",s,s
"<s>[INST]Consider Ichiro Suzuki.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider LeBron James.
What sport does this athlete play? Answer in a single word.[/INST]",b,b
"<s>[INST]Consider Bubba Smith.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Efren Navarro.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Marc Gasol.
What sport does this athlete play? Answer in a single word.[/INST]",b,b
"<s>[INST]Consider Walter Zenga.
What sport does this athlete play? Answer in a single word.[/INST]",s,foot
"<s>[INST]Consider Kendall Waston.
What sport does this athlete play? Answer in a single word.[/INST]",s,s
"<s>[INST]Consider Freddy Adu.
What sport does this athlete play? Answer in a single word.[/INST]",s,s
"<s>[INST]Consider George Halas.
What sport does this athlete play? Answer in a single word.[/INST]",base,foot
"<s>[INST]Consider Dick Butkus.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Red Grange.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Stan Musial.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Tommie Smith.
What sport does this athlete play? Answer in a single word.[/INST]",foot,s
"<s>[INST]Consider Lionel Conacher.
What sport does this athlete play? Answer in a single word.[/INST]",h,base
"<s>[INST]Consider Derek Jeter.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Honus Wagner.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Mickey Mantle.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Allen Iverson.
What sport does this athlete play? Answer in a single word.[/INST]",b,b
"<s>[INST]Consider Tom Seaver.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Brett Favre.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Michael Strahan.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Sergei Makarov.
What sport does this athlete play? Answer in a single word.[/INST]",h,h
"<s>[INST]Consider Danny Ainge.
What sport does this athlete play? Answer in a single word.[/INST]",base,b
"<s>[INST]Consider Wilt Chamberlain.
What sport does this athlete play? Answer in a single word.[/INST]",b,b
"<s>[INST]Consider Don Shula.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Emmitt Smith.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Brian Bosworth.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Johnny Unitas.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Babe Ruth.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Gary Payton.
What sport does this athlete play? Answer in a single word.[/INST]",b,b
"<s>[INST]Consider Kevin Garnett.
What sport does this athlete play? Answer in a single word.[/INST]",b,b
"<s>[INST]Consider Alex Karras.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Stan Mikita.
What sport does this athlete play? Answer in a single word.[/INST]",h,h
"<s>[INST]Consider Elroy Hirsch.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Roger Maris.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Carl Weathers.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Nick Swisher.
What sport does this athlete play? Answer in a single word.[/INST]",base,base
"<s>[INST]Consider Shane Doan.
What sport does this athlete play? Answer in a single word.[/INST]",h,h
"<s>[INST]Consider John Elway.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Terry Crews.
What sport does this athlete play? Answer in a single word.[/INST]",foot,foot
"<s>[INST]Consider Jacques Plante.
What sport does this athlete play? Answer in a single word.[/INST]",h,h
"<s>[INST]Consider Nigel de Jong.
What sport does this athlete play? Answer in a single word.[/INST]",s,s
"<s>[INST]Consider Frank Lampard.
What sport does this athlete play? Answer in a single word.[/INST]",s,s
"<s>[INST]Consider Peter Forsberg.
What sport does this athlete play? Answer in a single word.[/INST]",h,h
"<s>[INST]Consider Claudio Reyna.
What sport does this athlete play? Answer in a single word.[/INST]",s,s
"<s>[INST]Consider Boris Diaw.
What sport does this athlete play? Answer in a single word.[/INST]",b,b
"<s>[INST]Consider Julius Erving.
What sport does this athlete play? Answer in a single word.[/INST]",b,b
"<s>[INST]Consider Jason Kidd.
What sport does this athlete play? Answer in a single word.[/INST]",b,b
"<s>[INST]Consider Guy Lafleur.
What sport does this athlete play? Answer in a single word.[/INST]",h,h
