relative_image_path,prompt,gt_answer,pred_answer
images/happy/happy_0.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_102.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_103.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_104.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_105.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_10.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_113.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_114.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_11.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_12.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_13.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_14.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_15.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_16.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_17.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_18.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_19.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_1.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_21.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_22.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_23.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_24.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_25.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_26.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_28.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_2.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_30.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_31.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_32.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_33.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_34.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_35.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_36.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_38.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_39.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_3.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_40.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_41.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_42.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_44.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_45.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_46.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_47.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_48.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_49.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
images/happy/happy_4.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_50.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,h
images/happy/happy_51.jpeg,"<s>[INST][IMG]
Is this scene happy, sad, or neutral? Answer in a single word.[/INST]",h,neutral
