relative_image_path,prompt,gt_answer,pred_answer
images/3_people_1_bag_3_chair.png,"<s>[INST][IMG]How many ""people"" are in the image? Answer in a single number. [/INST]",3,4
images/3_people_1_bag_3_chair.png,"<s>[INST][IMG]How many ""bag"" are in the image? Answer in a single number. [/INST]",1,1
images/3_people_1_bag_3_chair.png,"<s>[INST][IMG]How many ""chair"" are in the image? Answer in a single number. [/INST]",3,2
images/4_apple_1_tree_2_bird.png,"<s>[INST][IMG]How many ""apple"" are in the image? Answer in a single number. [/INST]",4,4
images/4_apple_1_tree_2_bird.png,"<s>[INST][IMG]How many ""tree"" are in the image? Answer in a single number. [/INST]",1,1
images/4_apple_1_tree_2_bird.png,"<s>[INST][IMG]How many ""bird"" are in the image? Answer in a single number. [/INST]",2,0
images/4_boat_3_people.png,"<s>[INST][IMG]How many ""boat"" are in the image? Answer in a single number. [/INST]",4,4
images/4_boat_3_people.png,"<s>[INST][IMG]How many ""people"" are in the image? Answer in a single number. [/INST]",3,1
images/6_boat_1_bike.png,"<s>[INST][IMG]How many ""boat"" are in the image? Answer in a single number. [/INST]",6,3
images/7_book.png,"<s>[INST][IMG]How many ""book"" are in the image? Answer in a single number. [/INST]",7,1
images/7_girl.png,"<s>[INST][IMG]How many ""girl"" are in the image? Answer in a single number. [/INST]",7,8
images/7_knife.png,"<s>[INST][IMG]How many ""knife"" are in the image? Answer in a single number. [/INST]",7,4
images/6_fork_1_knife.png,"<s>[INST][IMG]How many ""fork"" are in the image? Answer in a single number. [/INST]",6,4
images/6_fork_1_knife.png,"<s>[INST][IMG]How many ""knife"" are in the image? Answer in a single number. [/INST]",1,1
images/1_ball_1_bag_5_coin.png,"<s>[INST][IMG]How many ""ball"" are in the image? Answer in a single number. [/INST]",1,1
images/1_ball_1_bag_5_coin.png,"<s>[INST][IMG]How many ""bag"" are in the image? Answer in a single number. [/INST]",1,1
images/1_ball_1_bag_5_coin.png,"<s>[INST][IMG]How many ""coin"" are in the image? Answer in a single number. [/INST]",5,5
images/1_knife_3_apple_1_bag_2_banana.png,"<s>[INST][IMG]How many ""knife"" are in the image? Answer in a single number. [/INST]",1,1
images/1_knife_3_apple_1_bag_2_banana.png,"<s>[INST][IMG]How many ""apple"" are in the image? Answer in a single number. [/INST]",3,3
