relative_image_path,prompt,gt_answer,pred_answer
images/3_people_1_bag_3_chair.png,"<bos><start_of_turn>user
<start_of_image>How many ""people"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
images/3_people_1_bag_3_chair.png,"<bos><start_of_turn>user
<start_of_image>How many ""bag"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/3_people_1_bag_3_chair.png,"<bos><start_of_turn>user
<start_of_image>How many ""chair"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
images/4_apple_1_tree_2_bird.png,"<bos><start_of_turn>user
<start_of_image>How many ""apple"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",4,4
images/4_apple_1_tree_2_bird.png,"<bos><start_of_turn>user
<start_of_image>How many ""tree"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/4_apple_1_tree_2_bird.png,"<bos><start_of_turn>user
<start_of_image>How many ""bird"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
images/4_boat_3_people.png,"<bos><start_of_turn>user
<start_of_image>How many ""boat"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",4,4
images/4_boat_3_people.png,"<bos><start_of_turn>user
<start_of_image>How many ""people"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,5
images/6_boat_1_bike.png,"<bos><start_of_turn>user
<start_of_image>How many ""boat"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",6,1
images/6_boat_1_bike.png,"<bos><start_of_turn>user
<start_of_image>How many ""bike"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/7_book.png,"<bos><start_of_turn>user
<start_of_image>How many ""book"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",7,7
images/7_girl.png,"<bos><start_of_turn>user
<start_of_image>How many ""girl"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",7,7
images/7_knife.png,"<bos><start_of_turn>user
<start_of_image>How many ""knife"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",7,7
images/7_banana.png,"<bos><start_of_turn>user
<start_of_image>How many ""banana"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",7,7
images/6_fork_1_knife.png,"<bos><start_of_turn>user
<start_of_image>How many ""fork"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",6,6
images/6_fork_1_knife.png,"<bos><start_of_turn>user
<start_of_image>How many ""knife"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/1_ball_1_bag_5_coin.png,"<bos><start_of_turn>user
<start_of_image>How many ""ball"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/1_ball_1_bag_5_coin.png,"<bos><start_of_turn>user
<start_of_image>How many ""bag"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/1_ball_1_bag_5_coin.png,"<bos><start_of_turn>user
<start_of_image>How many ""coin"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",5,6
images/1_knife_3_apple_1_bag_2_banana.png,"<bos><start_of_turn>user
<start_of_image>How many ""knife"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/1_knife_3_apple_1_bag_2_banana.png,"<bos><start_of_turn>user
<start_of_image>How many ""apple"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
images/1_knife_3_apple_1_bag_2_banana.png,"<bos><start_of_turn>user
<start_of_image>How many ""bag"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/1_knife_3_apple_1_bag_2_banana.png,"<bos><start_of_turn>user
<start_of_image>How many ""banana"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,3
images/2_bag_5_ball.png,"<bos><start_of_turn>user
<start_of_image>How many ""bag"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
images/2_bag_5_ball.png,"<bos><start_of_turn>user
<start_of_image>How many ""ball"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",5,5
images/2_boy_4_truck_1_apple.png,"<bos><start_of_turn>user
<start_of_image>How many ""boy"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
images/2_boy_4_truck_1_apple.png,"<bos><start_of_turn>user
<start_of_image>How many ""truck"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",4,4
images/2_boy_4_truck_1_apple.png,"<bos><start_of_turn>user
<start_of_image>How many ""apple"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/3_bag_1_hat_1_dog_2_bike.png,"<bos><start_of_turn>user
<start_of_image>How many ""bag"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
images/3_bag_1_hat_1_dog_2_bike.png,"<bos><start_of_turn>user
<start_of_image>How many ""hat"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
images/3_bag_1_hat_1_dog_2_bike.png,"<bos><start_of_turn>user
<start_of_image>How many ""dog"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,2
images/3_bag_1_hat_1_dog_2_bike.png,"<bos><start_of_turn>user
<start_of_image>How many ""bike"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
images/3_bag_2_bird_1_boat_1_cup.png,"<bos><start_of_turn>user
<start_of_image>How many ""bag"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
images/3_bag_2_bird_1_boat_1_cup.png,"<bos><start_of_turn>user
<start_of_image>How many ""bird"" are in the image? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,3
