relative_image_path,prompt,gt_answer,pred_answer
CLEVR/images/CLEVR_val_002045.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the third object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",blue,purple
CLEVR/images/CLEVR_val_002057.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the third object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",gray,green
CLEVR/images/CLEVR_val_010554.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the first object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",purple,purple
CLEVR/images/CLEVR_val_004623.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the third object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",purple,yellow
CLEVR/images/CLEVR_val_013286.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the second object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",blue,yellow
CLEVR/images/CLEVR_val_005812.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the first object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",purple,purple
CLEVR/images/CLEVR_val_010852.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",yellow,blue
CLEVR/images/CLEVR_val_006612.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the first object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",purple,purple
CLEVR/images/CLEVR_val_006883.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the second object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",green,purple
CLEVR/images/CLEVR_val_014876.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the third object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",yellow,brown
CLEVR/images/CLEVR_val_000636.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the first object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",yellow,yellow
CLEVR/images/CLEVR_val_007736.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the third object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",yellow,purple
CLEVR/images/CLEVR_val_010630.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the second object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",gray,brown
CLEVR/images/CLEVR_val_003140.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the third object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",cyan,green
CLEVR/images/CLEVR_val_013863.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the third object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",gray,gray
CLEVR/images/CLEVR_val_012615.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the third object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",purple,green
CLEVR/images/CLEVR_val_013002.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the second object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",purple,yellow
CLEVR/images/CLEVR_val_012089.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",red,blue
CLEVR/images/CLEVR_val_004180.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the first object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",yellow,yellow
CLEVR/images/CLEVR_val_010662.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",brown,yellow
CLEVR/images/CLEVR_val_012904.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",gray,gray
CLEVR/images/CLEVR_val_002353.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",cyan,green
CLEVR/images/CLEVR_val_005498.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",cyan,blue
CLEVR/images/CLEVR_val_003086.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",yellow,brown
CLEVR/images/CLEVR_val_008838.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",yellow,yellow
CLEVR/images/CLEVR_val_005509.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the second object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",blue,yellow
CLEVR/images/CLEVR_val_011243.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the first object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",yellow,yellow
CLEVR/images/CLEVR_val_011778.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the third object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",blue,green
CLEVR/images/CLEVR_val_002597.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",brown,brown
CLEVR/images/CLEVR_val_006801.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the first object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",green,gray
CLEVR/images/CLEVR_val_009205.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",brown,brown
CLEVR/images/CLEVR_val_008363.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the first object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",cyan,blue
CLEVR/images/CLEVR_val_013192.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the first object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",yellow,yellow
CLEVR/images/CLEVR_val_010258.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the first object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",brown,yellow
CLEVR/images/CLEVR_val_013361.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the second object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",yellow,yellow
CLEVR/images/CLEVR_val_003021.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the second object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",yellow,yellow
CLEVR/images/CLEVR_val_008754.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",red,yellow
CLEVR/images/CLEVR_val_003982.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",purple,purple
CLEVR/images/CLEVR_val_002140.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the second object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",gray,gray
CLEVR/images/CLEVR_val_011216.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the first object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",cyan,blue
CLEVR/images/CLEVR_val_009645.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",blue,brown
CLEVR/images/CLEVR_val_001090.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the second object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",gray,purple
CLEVR/images/CLEVR_val_006766.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the second object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",green,yellow
CLEVR/images/CLEVR_val_000048.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the second object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",green,green
CLEVR/images/CLEVR_val_010160.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the second object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",green,brown
CLEVR/images/CLEVR_val_013525.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the second object from the left? Answer in a single word.<end_of_turn>
<start_of_turn>model
",green,green
CLEVR/images/CLEVR_val_006167.png,"<bos><start_of_turn>user
<start_of_image>What is the color of the fourth object from the right? Answer in a single word.<end_of_turn>
<start_of_turn>model
",brown,green
