prompt,gt_answer,pred_answer
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A child sobs alone in the rain, clutching a torn letter, eyes searching the storm ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A grieving mother kneels by a fresh grave, rain pouring down as she whispers forgotten lull ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A girl sits by a hospital bed, holding her father’s lifeless hand, the machines already ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A couple stands in the storm, one turning away forever, their hands parting like pages in ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A shivering homeless man curls up in a dark alley, unseen and forgotten, surrounded by the ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A blood-stained teddy bear lies in the mud, rain falling steadily, a child’s ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A coffin lowers into the ground as mourners stand silently in black, their tears mixing with the ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A woman screams alone in a dark hallway, clutching a death certificate, the silence pressing in ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A suicide note sits beside a bottle of pills on a nightstand, the clock ticking louder with ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A house burns in the distance, a child watching from the roadside, crying, clutching only ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A morgue drawer is pulled open, the toe tag swinging slightly in the cold air of ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A man stares at a noose hanging in a dimly lit basement, his shadow trembling on ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A crow picks at a wilted bouquet left on an overgrown grave, its caws lost ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A wedding dress floats in a murky river, torn and stained, once white, now forgotten beneath ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A crash site smolders at dawn, belongings scattered, a single shoe in the dirt, untouched ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A teenager's final text glows on a cracked phone screen in the rain, unread, trembling ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A man screams into a pillow, surrounded by empty liquor bottles and darkness, lost in a night ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A wedding photo burns slowly in a fireplace, edges curling into ash, love erased by flame ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A body lies covered in a white sheet as police tape flutters nearby, sirens fading into ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""An abandoned asylum hallway echoes with faint footsteps and distant sobbing, the air thick with forgotten screams ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A girl lights candles around a gravestone on what would’ve been prom night, her dress soaked ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A wheelchair sits empty at the edge of a cliff, facing the sea, wheels still, silence ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A burned-out car smolders in the distance, family photos scattered in the grass, a story ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
""""""A man cradles his lifeless dog beneath a streetlamp on a rainy night, whisper ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<|im_end|>
<|im_start|>assistant
",sad,sad
