relative_image_path,prompt,gt_answer,pred_answer
images/happy/happy_0.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_102.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_103.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_104.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_105.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_10.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_113.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_114.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_11.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_12.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_13.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_14.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_15.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_16.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_17.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_18.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_19.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_1.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_21.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_22.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_23.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_24.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_25.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_26.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_28.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
images/happy/happy_2.jpeg,"<bos><start_of_turn>user
<start_of_image>Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",happy,happy
