relative_image_path,prompt,gt_answer,pred_answer
images/Andreas_Ivanschitz.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],s,foot
images/Roberto_Clemente.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],base,base
images/Carlos_Valderrama.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],s,foot
images/Hank_Aaron.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],base,base
images/Jari_Kurri.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],h,h
images/David_Carney.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],s,base
images/R.A._Dickey.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],base,base
images/Luis_Scola.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],b,b
images/Satchel_Paige.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],base,base
images/Elton_Brand.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],b,b
images/Terrell_Owens.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],foot,foot
images/Matteo_Ferrari.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],s,b
images/Tom_Harmon.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],foot,foot
images/Mariano_Rivera.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],base,base
images/Gary_Carter.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],base,base
images/Igor_Larionov.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],h,h
images/Ashley_Cole.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],s,foot
images/Dennis_Rodman.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],b,base
images/Moe_Berg.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],base,base
images/Willie_Mays.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],base,base
images/Landon_Donovan.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],s,foot
images/Tim_Tebow.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],foot,foot
images/David_Beckham.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],s,foot
images/Magic_Johnson.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],b,b
images/Zack_Steffen.png,<s>[INST][IMG]What sport does this athlete play? Answer in a single word.[/INST],s,foot
