prompt,gt_answer,pred_answer
"<bos><start_of_turn>user
Question: 63/16. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
"<bos><start_of_turn>user
Question: 16+17. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
"<bos><start_of_turn>user
Question: 48-29. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 45*92. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",4,4
"<bos><start_of_turn>user
Question: 63/31. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
"<bos><start_of_turn>user
Question: 69*93. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",6,6
"<bos><start_of_turn>user
Question: 74-15. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",5,5
"<bos><start_of_turn>user
Question: 65+13. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",7,7
"<bos><start_of_turn>user
Question: 94-93. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 57-44. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 14+21. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
"<bos><start_of_turn>user
Question: 46-37. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",9,9
"<bos><start_of_turn>user
Question: 14*61. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",8,8
"<bos><start_of_turn>user
Question: 96-41. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",5,5
"<bos><start_of_turn>user
Question: 62*70. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",4,4
"<bos><start_of_turn>user
Question: 76-56. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
"<bos><start_of_turn>user
Question: 23-15. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",8,8
"<bos><start_of_turn>user
Question: 92*56. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",5,5
"<bos><start_of_turn>user
Question: 50+38. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",8,8
"<bos><start_of_turn>user
Question: 41/36. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 82+10. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",9,9
"<bos><start_of_turn>user
Question: 52-12. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",4,4
"<bos><start_of_turn>user
Question: 23+10. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
"<bos><start_of_turn>user
Question: 78+18. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",9,9
"<bos><start_of_turn>user
Question: 98-97. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 15/10. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 96-70. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
"<bos><start_of_turn>user
Question: 54*15. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",8,8
"<bos><start_of_turn>user
Question: 76/25. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
"<bos><start_of_turn>user
Question: 13-11. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
"<bos><start_of_turn>user
Question: 19+74. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",9,9
"<bos><start_of_turn>user
Question: 50+25. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",7,7
"<bos><start_of_turn>user
Question: 28+13. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",4,4
"<bos><start_of_turn>user
Question: 81-70. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 49+45. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",9,9
"<bos><start_of_turn>user
Question: 28-26. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
"<bos><start_of_turn>user
Question: 12*69. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",8,8
"<bos><start_of_turn>user
Question: 77/77. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 25*74. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 43*67. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
"<bos><start_of_turn>user
Question: 57-42. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 41/38. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 15+45. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",6,6
"<bos><start_of_turn>user
Question: 99/78. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 79/62. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 18/16. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 17+39. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",5,5
"<bos><start_of_turn>user
Question: 42-19. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
"<bos><start_of_turn>user
Question: 40*46. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 18-16. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
"<bos><start_of_turn>user
Question: 61*66. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",4,4
"<bos><start_of_turn>user
Question: 81+15. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",9,9
"<bos><start_of_turn>user
Question: 74/17. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",4,4
"<bos><start_of_turn>user
Question: 25/17. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 73/52. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 75-25. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",5,5
"<bos><start_of_turn>user
Question: 93/38. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
"<bos><start_of_turn>user
Question: 38/32. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 80-26. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",5,5
"<bos><start_of_turn>user
Question: 53-48. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",5,5
"<bos><start_of_turn>user
Question: 21/18. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 65*51. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
"<bos><start_of_turn>user
Question: 75+23. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",9,9
"<bos><start_of_turn>user
Question: 40+52. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",9,9
"<bos><start_of_turn>user
Question: 66/17. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",3,3
"<bos><start_of_turn>user
Question: 16*73. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 84/31. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
"<bos><start_of_turn>user
Question: 56/50. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 59/58. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 95*97. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",9,9
"<bos><start_of_turn>user
Question: 44/42. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 52/30. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",1,1
"<bos><start_of_turn>user
Question: 13-13. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",0,0
"<bos><start_of_turn>user
Question: 27+38. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",6,6
"<bos><start_of_turn>user
Question: 88-68. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",2,2
"<bos><start_of_turn>user
Question: 79-72. What is the result of the given arithmetic calculation? Answer in a single number.<end_of_turn>
<start_of_turn>model
",7,7
