prompt,gt_answer,pred_answer
"<bos><start_of_turn>user
""""""A child sobs alone in the rain, clutching a torn letter, eyes searching the stormy sky ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A grieving mother kneels by a fresh grave, rain pouring down as she whispers forgotten lullabies ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A girl sits by a hospital bed, holding her father’s lifeless hand, the machines already ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A couple stands in the storm, one turning away forever, their hands parting like pages in a ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A shivering homeless man curls up in a dark alley, unseen and forgotten, surrounded by the stench ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A blood-stained teddy bear lies in the mud, rain falling steadily, a child’s ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A coffin lowers into the ground as mourners stand silently in black, their tears mixing with the ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A woman screams alone in a dark hallway, clutching a death certificate, the silence pressing in like ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A suicide note sits beside a bottle of pills on a nightstand, the clock ticking louder with ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A house burns in the distance, a child watching from the roadside, crying, clutching only a ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A morgue drawer is pulled open, the toe tag swinging slightly in the cold air of the ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A man stares at a noose hanging in a dimly lit basement, his shadow trembling on the ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A crow picks at a wilted bouquet left on an overgrown grave, its caws lost in ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A wedding dress floats in a murky river, torn and stained, once white, now forgotten beneath ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A crash site smolders at dawn, belongings scattered, a single shoe in the dirt, ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A teenager's final text glows on a cracked phone screen in the rain, unread, ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A man screams into a pillow, surrounded by empty liquor bottles and darkness, lost in a night ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A wedding photo burns slowly in a fireplace, edges curling into ash, love erased by flame and ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A body lies covered in a white sheet as police tape flutters nearby, sirens fading into ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""An abandoned asylum hallway echoes with faint footsteps and distant sobbing, the air thick with forgotten screams and ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A girl lights candles around a gravestone on what would’ve been prom night, her dress ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A wheelchair sits empty at the edge of a cliff, facing the sea, wheels still, silence ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A burned-out car smolders in the distance, family photos scattered in the grass, ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A man cradles his lifeless dog beneath a streetlamp on a rainy night, whispering thank you ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A baby blanket lies abandoned in the rubble of a collapsed building, soot-stained memories tangled in ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A girl stares at a missing poster with her sister’s face on it, heart pounding with ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A blood-soaked wedding dress is found in a forest clearing, surrounded by silence and the scent ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A child's drawing is taped to a morgue door, marked with a name, a ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A pair of shoes sits neatly by a bridge railing, untouched in the morning mist and ghostly pre ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A child draws stick figures of their family—one figure is crossed out in red crayon, forgotten ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A dying tree stands alone in a graveyard, branches reaching like bony fingers toward the sky, whispering ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A child stares through a rain-streaked window, clutching a stuffed animal tightly, waiting for ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A grave covered in fresh flowers under gray skies and silent mourners, each petal a goodbye unspoken ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A girl weeps beside a broken photo frame, shards scattered on the floor, as memories flood ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A suicide note lies on a desk next to an untouched coffee cup, the room heavy with silence ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A child lights a candle at a roadside memorial, face full of quiet grief, as the world ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A woman kneels beside a grave marked with her child’s name and a tiny teddy bear ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A soldier’s uniform lies folded beside a flag and a framed photo, untouched by the hands ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A single wilted rose rests on a casket as rain begins to fall, soaking the earth with ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A bloodstained journal lies open on a kitchen floor in silence, its pages filled with lost hopes ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A figure sits at the edge of a pier, shoes off, staring at the black water, ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A dog waits outside a burned home, tail still, eyes watching, longing for the return of ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A woman collapses to her knees in front of a closed hospital door, her sobs echoing in ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A wedding photo lies torn in half on a dark bedroom floor, memories scattered like broken pieces of ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A child holds a candle vigil for a classmate who never came back, the flame flickering in the ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""An urn sits on a windowsill, untouched by the dust of months, a silent testament to a ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,neutral
"<bos><start_of_turn>user
""""""A shattered mirror reflects a tear-streaked face and broken expression, pieces of glass scattered like ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A teenager’s backpack rests against a wall covered in missing person posters, her absence weighing heavy ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
"<bos><start_of_turn>user
""""""A girl clutches a voicemail recording on repeat, sobbing in darkness, as the silence between her tears ...""""""
Is this scene happy, sad, or neutral? Answer in a single word.<end_of_turn>
<start_of_turn>model
",sad,sad
